Wavelength,Intensity
865.959345,0
860.651937,0
855.382306,0
850.15034,0
844.955931,0
839.798969,0
834.679345,0
829.596949,0
824.551671,0
819.543403,0
814.572033,0
809.637454,0
804.739555,0
799.878227,0
795.05336,0
790.264845,0
785.512572,0
780.796431,0
776.116314,0
771.47211,0
766.863711,0
762.291006,0
757.753885,0
753.252241,0
748.785962,0
744.354939,0
739.959063,0
735.598225,0
731.272314,0
726.981221,0
722.724837,0
718.503053,0
714.315757,0
710.162842,0
706.044197,0
701.959713,0
697.909281,0
693.89279,0
689.910132,0
685.961196,0
682.045874,0
678.164055,0
674.315631,0
670.500491,0
666.718527,0
662.969628,0
659.253684,0
655.570588,0
651.920228,1
648.302496,1
644.717281,1
641.164475,0
637.643968,0
634.15565,1
630.699411,1
627.275143,1
623.882735,1
620.522078,1
617.193063,1
613.89558,1
610.62952,1
607.394772,1
604.191228,1
601.018777,1
597.877311,1
594.76672,1
591.686893,1
588.637723,1
585.619098,1
582.630911,1
579.67305,1
576.745407,1
573.847872,1
570.980335,1
568.142687,1
565.334818,1
562.55662,1
559.807981,1
557.088794,1
554.398947,1
551.738333,1
549.10684,1
546.50436,1
543.930783,1
541.385999,1
538.8699,1
536.382375,1
533.923315,1
531.49261,1
529.090151,1
526.715828,1
524.369532,1
522.051153,1
519.760582,1
517.497709,1
515.262425,1
513.054619,1
510.874184,1
508.721008,1
506.594982,1
504.495997,1
502.423944,1
500.378713,1
498.360193,1
496.368277,1
494.402854,1
492.463814,1
490.551048,1
488.664447,1
486.803901,1
484.969301,1
483.160536,1
481.377498,1
479.620077,1
477.888163,1
476.181647,1
474.500419,1
472.84437,1
471.21339,1
469.60737,1
468.026199,1
466.46977,1
464.937971,1
463.430694,1
461.947828,1
460.489265,1
459.054895,1
457.644609,1
456.258296,1
454.895847,1
453.557153,1
452.242104,1
450.950591,1
449.682504,1
448.437733,1
447.21617,1
446.017703,1
444.842225,1
443.689625,1
442.559794,1
441.452623,1
440.368001,1
439.305819,1
438.265968,1
437.248338,1
436.25282,1
435.279304,1
434.32768,1
433.39784,1
432.489672,1
431.603069,1
430.73792,1
429.894116,1
429.071547,1
428.270104,1
427.489678,1
426.730157,1
425.991434,1
425.273399,1
424.575942,1
423.898953,1
423.242323,1
422.605943,1
421.989702,1
421.393492,1
420.817202,1
420.260724,1
419.723948,1
419.206764,1
418.709063,1
418.230734,1
417.77167,1
417.331759,1
416.910893,1
416.508961,1
416.125856,1
415.761466,1
415.415682,1
415.088395,1
414.779496,1
414.488874,1
414.216421,1
413.962026,1
413.72558,1
413.506974,1
413.306098,1
413.122842,1
412.957097,1
412.808754,1
412.677702,1
412.563833,1
412.467037,1
412.387204,1
412.324224,1
412.277989,1
412.248389,1
412.235313,1
412.238653,1
412.2583,1
412.294142,1
412.346072,1
412.413979,1
412.497754,1
412.597287,1
412.712469,1
412.84319,1
412.989341,1
413.150812,1
413.327494,1
413.519276,1
413.726051,1
413.947707,1
414.184136,1
414.435228,1
414.700873,1
414.980962,1
415.275385,1
415.584033,1
415.906796,1
416.243565,1
416.59423,1
416.958682,1
417.336811,1
417.728507,1
418.133662,1
418.552165,1
418.983906,1
419.428777,1
419.886668,1
420.35747,1
420.841072,1
421.337365,1
421.84624,1
422.367587,1
422.901297,1
423.447259,1
424.005366,1
424.575506,1
425.15757,1
425.75145,1
426.357035,1
426.974216,1
427.602883,1
428.242927,1
428.894238,1
429.556706,1
430.230223,1
430.914679,1
431.609963,1
432.315967,1
433.032581,1
433.759695,1
434.497201,1
435.244987,1
436.002946,1
436.770966,1
437.54894,1
438.336757,1
439.134307,1
439.941481,1
440.75817,1
441.584264,1
442.419654,1
443.264229,1
444.117881,1
444.9805,1
445.851976,1
446.7322,1
447.621062,1
448.518453,1
449.424263,1
450.338383,1
451.260703,1
452.191113,1
453.129505,1
454.075768,1
455.029793,1
455.99147,1
456.96069,1
457.937344,1
458.921321,1
459.912513,1
460.910809,1
461.9161,1
462.928277,1
463.94723,1
464.97285,1
466.005027,1
467.043651,1
468.088613,1
469.139804,1
470.197113,0
471.260432,1
472.32965,1
473.404659,0
474.485348,0
475.571609,1
476.663331,1
477.760406,1
478.862722,1
479.970172,2
481.082646,3
482.200033,4
483.322224,5
484.449111,6
485.580583,7
486.71653,8
487.856844,9
489.001414,10
490.150132,12
491.302887,14
492.45957,16
493.620072,18
494.784283,20
495.952093,22
497.123393,25
498.298074,29
499.476025,33
500.657138,37
501.841302,41
503.028409,45
504.218348,51
505.41101,59
506.606286,67
507.804066,75
509.004241,84
510.206701,92
511.411336,99
512.618036,106
513.826694,114
515.037198,125
516.249439,137
517.463308,149
518.678696,157
519.895491,163
521.113587,166
522.332871,166
523.553236,167
524.774571,169
525.996767,171
527.219715,173
528.443305,174
529.667426,176
530.891971,177
532.116829,178
533.341891,179
534.567046,180
535.792187,180
537.017203,180
538.241984,180
539.466421,179
540.690405,179
541.913825,178
543.136573,176
544.358539,174
545.579614,171
546.799687,168
548.018649,165
549.236391,162
550.452803,160
551.667776,158
552.8812,157
554.092966,156
555.302963,154
556.511083,153
557.717216,151
558.921253,150
560.123083,148
561.322598,144
562.519687,139
563.714242,132
564.906152,125
566.095308,119
567.281601,112
568.464922,105
